condition,tag,family,support,n_answered,tp,fp,fn,tn,precision,precision_lo,precision_hi,precision_lo_clust,precision_hi_clust,recall,recall_lo,recall_hi,recall_lo_clust,recall_hi_clust,f1,f1_lo_clust,f1_hi_clust,boot_degenerate,baseline_f1,accuracy,baseline_accuracy
temporal,stopped_vehicle,visible_objects,257,628,39,84,218,287,0.3171,0.2414,0.4038,0.1818,0.464,0.1518,0.113,0.2007,0.0798,0.2487,0.2053,0.1134,0.3125,False,0.0,0.5191,0.5908
temporal,large_vehicle,visible_objects,406,628,178,17,228,205,0.9128,0.8648,0.9449,0.8661,0.9518,0.4384,0.391,0.487,0.3381,0.5374,0.5923,0.4924,0.6793,False,0.7853,0.6099,0.6465
temporal,cyclist,visible_objects,109,628,21,0,88,519,1.0,0.8454,1.0,1.0,1.0,0.1927,0.1296,0.2766,0.029,0.4199,0.3231,0.0563,0.5914,True,0.0,0.8599,0.8264
temporal,parked_bicycle,visible_objects,68,628,3,1,65,559,0.75,0.3006,0.9544,0.0,1.0,0.0441,0.0151,0.1219,0.0,0.1139,0.0833,0.0,0.2022,False,0.0,0.8949,0.8917
temporal,construction_object,visible_objects,203,628,93,5,110,420,0.949,0.8861,0.978,0.8723,0.9915,0.4581,0.391,0.5268,0.2889,0.6085,0.6179,0.4372,0.7443,False,0.0,0.8169,0.6768
temporal,traffic_cone,visible_objects,135,628,69,14,66,479,0.8313,0.7366,0.8968,0.6786,0.9333,0.5111,0.4277,0.594,0.3302,0.6718,0.633,0.4512,0.7663,False,0.0,0.8726,0.785
temporal,barrier,visible_objects,121,628,77,16,44,491,0.828,0.7387,0.8912,0.6667,0.9184,0.6364,0.5477,0.7167,0.4286,0.797,0.7196,0.5294,0.8389,False,0.0,0.9045,0.8073
temporal,pedestrian_near,visible_objects,150,628,114,57,36,421,0.6667,0.593,0.733,0.5343,0.7808,0.76,0.6857,0.8213,0.6232,0.8686,0.7103,0.5896,0.7969,False,0.0,0.8519,0.7611
temporal,vehicle_near,visible_objects,283,628,282,287,1,58,0.4956,0.4547,0.5366,0.4163,0.5712,0.9965,0.9803,0.9994,0.9878,1.0,0.662,0.5871,0.7267,False,0.0,0.5414,0.5494
temporal,lead_vehicle,interaction,314,628,288,211,26,103,0.5772,0.5334,0.6197,0.4921,0.6553,0.9172,0.8814,0.9429,0.8432,0.9704,0.7085,0.6302,0.7705,False,0.6667,0.6226,0.5
temporal,lead_braking,interaction,108,628,0,1,108,519,0.0,0.0,0.7935,0.0,0.0,0.0,0.0,0.0343,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8264,0.828
temporal,cut_in,interaction,109,628,0,0,109,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8264,0.8264
temporal,pedestrian_crossing_path,interaction,98,628,3,0,95,530,1.0,0.4385,1.0,0.0,1.0,0.0306,0.0105,0.0862,0.0,0.0753,0.0594,0.0,0.14,False,0.0,0.8487,0.8439
