condition,tag,family,support,n_answered,tp,fp,fn,tn,precision,precision_lo,precision_hi,precision_lo_clust,precision_hi_clust,recall,recall_lo,recall_hi,recall_lo_clust,recall_hi_clust,f1,f1_lo_clust,f1_hi_clust,boot_degenerate,baseline_f1,accuracy,baseline_accuracy
cot,lead_braking,interaction,108,627,8,10,100,509,0.4444,0.2456,0.6628,0.1579,0.6843,0.0741,0.038,0.1394,0.0219,0.1475,0.127,0.0392,0.2338,False,0.0,0.8246,0.828
cot,cut_in,interaction,109,627,0,0,108,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8278,0.8264
cot,pedestrian_crossing_path,interaction,98,627,31,18,67,511,0.6327,0.4927,0.7534,0.4249,0.8086,0.3163,0.2327,0.4138,0.2,0.4404,0.4218,0.28,0.5443,False,0.0,0.8644,0.8439
bev_pic,is_going_straight,ego_maneuver,456,628,110,13,346,159,0.8943,0.8275,0.9372,0.797,0.9649,0.2412,0.2042,0.2826,0.1735,0.3282,0.38,0.2891,0.4801,False,0.8413,0.4283,0.7261
bev_pic,is_turn_left,ego_maneuver,76,628,21,143,55,409,0.128,0.0853,0.1878,0.0556,0.2205,0.2763,0.1884,0.3858,0.1348,0.4419,0.175,0.0816,0.2797,False,0.0,0.6847,0.879
bev_pic,is_turn_right,ego_maneuver,60,628,40,301,20,267,0.1173,0.0873,0.1558,0.0665,0.178,0.6667,0.5406,0.7727,0.5397,0.8056,0.1995,0.1208,0.2837,False,0.0,0.4889,0.9045
bev_pic,is_u_turn,ego_maneuver,36,628,0,0,36,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.0,0.0,0.0,0.0,0.0,True,0.0,0.9427,0.9427
bev_pic,is_cruising,ego_maneuver,236,628,66,57,170,335,0.5366,0.4487,0.6223,0.4151,0.6542,0.2797,0.2263,0.3401,0.1889,0.376,0.3677,0.2674,0.4672,False,0.0,0.6385,0.6242
bev_pic,is_stationary,ego_maneuver,154,628,0,0,154,474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7548,0.7548
bev_pic,is_accelerating,ego_maneuver,119,628,0,0,119,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8105,0.8105
bev_pic,is_decelerating,ego_maneuver,119,628,0,0,119,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8105,0.8105
bev_pic,lane_change,ego_maneuver,96,628,65,276,31,256,0.1906,0.1525,0.2357,0.0988,0.2789,0.6771,0.5783,0.7622,0.4878,0.8571,0.2975,0.1666,0.405,False,0.0,0.5111,0.8471
bev_pic,on_drivable_area,map_context,628,628,628,0,0,0,1.0,0.9939,1.0,1.0,1.0,1.0,0.9939,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0
bev_pic,at_intersection,map_context,216,628,124,222,92,190,0.3584,0.3097,0.4102,0.2697,0.4582,0.5741,0.5074,0.6382,0.4575,0.6809,0.4413,0.3497,0.5288,False,0.0,0.5,0.6561
bev_pic,on_lane,map_context,412,628,412,216,0,0,0.6561,0.6181,0.6922,0.5895,0.7194,1.0,0.9908,1.0,1.0,1.0,0.7923,0.7418,0.8368,True,0.7923,0.6561,0.6561
bev_pic,on_ped_crossing,map_context,118,628,0,0,118,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8121,0.8121
bev_pic,on_stop_line,map_context,166,628,0,0,166,462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7357,0.7357
bev_pic,ped_crossing_ahead,map_context,339,628,0,0,339,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,True,0.7011,0.4602,0.5398
bev_pic,stop_line_ahead,map_context,471,628,0,0,471,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,True,0.8571,0.25,0.75
bev_pic,intersection_ahead,map_context,541,628,219,21,322,66,0.9125,0.8699,0.9421,0.8477,0.9628,0.4048,0.3643,0.4467,0.3362,0.4726,0.5608,0.4869,0.6246,False,0.9256,0.4538,0.8615
bev_pic,traffic_light_ahead,map_context,144,628,0,1,144,483,0.0,0.0,0.7935,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7691,0.7707
bev_pic,has_pedestrian,visible_objects,378,628,2,0,376,250,1.0,0.3424,1.0,0.0,1.0,0.0053,0.0015,0.0191,0.0,0.0132,0.0105,0.0,0.026,False,0.7515,0.4013,0.6019
bev_pic,has_vehicle,visible_objects,584,628,584,44,0,0,0.9299,0.9072,0.9474,0.8767,0.9703,1.0,0.9935,1.0,1.0,1.0,0.9637,0.9343,0.9849,True,0.9637,0.9299,0.9299
bev_pic,parked_vehicle,visible_objects,362,628,1,0,361,266,1.0,0.2065,1.0,0.0,1.0,0.0028,0.0005,0.0155,0.0,0.0093,0.0055,0.0,0.0185,False,0.7313,0.4252,0.5764
bev_pic,moving_vehicle,visible_objects,443,628,443,183,0,2,0.7077,0.6709,0.7419,0.6301,0.7804,1.0,0.9914,1.0,1.0,1.0,0.8288,0.7731,0.8766,True,0.8273,0.7086,0.7054
bev_pic,stopped_vehicle,visible_objects,257,628,0,1,257,370,0.0,0.0,0.7935,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,True,0.0,0.5892,0.5908
bev_pic,large_vehicle,visible_objects,406,628,105,16,301,206,0.8678,0.796,0.9169,0.7429,0.96,0.2586,0.2184,0.3033,0.1804,0.3364,0.3985,0.2959,0.4884,False,0.7853,0.4952,0.6465
bev_pic,cyclist,visible_objects,109,628,0,0,109,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8264,0.8264
bev_pic,parked_bicycle,visible_objects,68,628,0,0,68,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0535,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8917,0.8917
bev_pic,construction_object,visible_objects,203,628,116,104,87,321,0.5273,0.4614,0.5922,0.3756,0.6549,0.5714,0.5026,0.6376,0.4193,0.7188,0.5485,0.4084,0.665,False,0.0,0.6959,0.6768
bev_pic,traffic_cone,visible_objects,135,628,72,148,63,345,0.3273,0.2687,0.3918,0.1848,0.4734,0.5333,0.4494,0.6154,0.3308,0.719,0.4056,0.2444,0.5517,False,0.0,0.664,0.785
bev_pic,barrier,visible_objects,121,628,97,123,24,384,0.4409,0.3769,0.507,0.2857,0.5752,0.8017,0.7218,0.8629,0.6608,0.9017,0.5689,0.4087,0.691,False,0.0,0.7659,0.8073
bev_pic,pedestrian_near,visible_objects,150,628,1,1,149,477,0.5,0.0945,0.9055,0.0,1.0,0.0067,0.0012,0.0368,0.0,0.0206,0.0132,0.0,0.0404,False,0.0,0.7611,0.7611
bev_pic,vehicle_near,visible_objects,283,628,283,345,0,0,0.4506,0.4121,0.4897,0.3708,0.5294,1.0,0.9866,1.0,1.0,1.0,0.6213,0.541,0.6923,True,0.0,0.4506,0.5494
bev_pic,lead_vehicle,interaction,314,628,186,113,128,201,0.6221,0.5659,0.6752,0.5148,0.7178,0.5924,0.5372,0.6453,0.4871,0.6885,0.6069,0.5132,0.6879,False,0.6667,0.6162,0.5
bev_pic,lead_braking,interaction,108,628,3,3,105,517,0.5,0.1876,0.8124,0.0,1.0,0.0278,0.0095,0.0785,0.0,0.0722,0.0526,0.0,0.1284,False,0.0,0.828,0.828
bev_pic,cut_in,interaction,109,628,0,0,109,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8264,0.8264
bev_pic,pedestrian_crossing_path,interaction,98,628,0,0,98,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8439,0.8439
bev_txt,is_going_straight,ego_maneuver,456,628,0,0,456,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,True,0.8413,0.2739,0.7261
bev_txt,is_turn_left,ego_maneuver,76,628,0,0,76,552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481,0.0,0.0,0.0,0.0,0.0,True,0.0,0.879,0.879
bev_txt,is_turn_right,ego_maneuver,60,628,0,0,60,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0602,0.0,0.0,0.0,0.0,0.0,True,0.0,0.9045,0.9045
bev_txt,is_u_turn,ego_maneuver,36,628,0,0,36,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.0,0.0,0.0,0.0,0.0,True,0.0,0.9427,0.9427
bev_txt,is_cruising,ego_maneuver,236,628,2,3,234,389,0.4,0.1176,0.7693,0.0,1.0,0.0085,0.0023,0.0304,0.0,0.0224,0.0166,0.0,0.0427,False,0.0,0.6226,0.6242
bev_txt,is_stationary,ego_maneuver,154,628,0,0,154,474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7548,0.7548
bev_txt,is_accelerating,ego_maneuver,119,628,2,12,117,497,0.1429,0.0401,0.3994,0.0,0.375,0.0168,0.0046,0.0592,0.0,0.0414,0.0301,0.0,0.0727,False,0.0,0.7946,0.8105
bev_txt,is_decelerating,ego_maneuver,119,628,0,0,119,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8105,0.8105
bev_txt,lane_change,ego_maneuver,96,628,0,0,96,532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8471,0.8471
bev_txt,on_drivable_area,map_context,628,628,628,0,0,0,1.0,0.9939,1.0,1.0,1.0,1.0,0.9939,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0
bev_txt,at_intersection,map_context,216,628,0,0,216,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.0,0.0,True,0.0,0.6561,0.6561
bev_txt,on_lane,map_context,412,628,412,216,0,0,0.6561,0.6181,0.6922,0.5895,0.7194,1.0,0.9908,1.0,1.0,1.0,0.7923,0.7418,0.8368,True,0.7923,0.6561,0.6561
bev_txt,on_ped_crossing,map_context,118,628,0,6,118,504,0.0,0.0,0.3903,0.0,0.0,0.0,0.0,0.0315,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8025,0.8121
bev_txt,on_stop_line,map_context,166,628,4,11,162,451,0.2667,0.109,0.5195,0.0,0.4,0.0241,0.0094,0.0603,0.0,0.08,0.0442,0.0,0.1326,False,0.0,0.7245,0.7357
bev_txt,ped_crossing_ahead,map_context,339,628,0,8,339,281,0.0,0.0,0.3244,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,True,0.7011,0.4475,0.5398
bev_txt,stop_line_ahead,map_context,471,628,15,0,456,157,1.0,0.7961,1.0,0.0,1.0,0.0318,0.0194,0.0519,0.0,0.0839,0.0617,0.0,0.1547,False,0.8571,0.2739,0.75
bev_txt,intersection_ahead,map_context,541,628,0,0,541,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,True,0.9256,0.1385,0.8615
bev_txt,traffic_light_ahead,map_context,144,628,0,0,144,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7707,0.7707
bev_txt,has_pedestrian,visible_objects,378,628,371,51,7,199,0.8791,0.8446,0.9069,0.8293,0.9218,0.9815,0.9623,0.991,0.9512,1.0,0.9275,0.8967,0.9532,False,0.7515,0.9076,0.6019
bev_txt,has_vehicle,visible_objects,584,628,570,4,14,40,0.993,0.9822,0.9973,0.9856,0.9984,0.976,0.9602,0.9857,0.959,0.9913,0.9845,0.9742,0.9935,False,0.9637,0.9713,0.9299
bev_txt,parked_vehicle,visible_objects,362,628,8,2,354,264,0.8,0.4902,0.9433,0.5,1.0,0.0221,0.0112,0.043,0.0076,0.0405,0.043,0.0149,0.0772,False,0.7313,0.4331,0.5764
bev_txt,moving_vehicle,visible_objects,443,628,438,128,5,57,0.7739,0.7376,0.8064,0.7026,0.8369,0.9887,0.9739,0.9952,0.978,0.9977,0.8682,0.823,0.9073,False,0.8273,0.7882,0.7054
bev_txt,stopped_vehicle,visible_objects,257,628,3,12,254,359,0.2,0.0705,0.4519,0.0,0.5,0.0117,0.004,0.0338,0.0,0.0266,0.0221,0.0,0.0495,False,0.0,0.5764,0.5908
bev_txt,large_vehicle,visible_objects,406,628,42,3,364,219,0.9333,0.8214,0.9771,0.8108,1.0,0.1034,0.0774,0.1369,0.0582,0.1579,0.1863,0.1098,0.2709,False,0.7853,0.4156,0.6465
bev_txt,cyclist,visible_objects,109,628,15,9,94,510,0.625,0.4271,0.7884,0.2173,0.85,0.1376,0.0852,0.2147,0.0275,0.2727,0.2256,0.0494,0.4022,False,0.0,0.836,0.8264
bev_txt,parked_bicycle,visible_objects,68,628,0,0,68,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0535,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8917,0.8917
bev_txt,construction_object,visible_objects,203,628,2,0,201,425,1.0,0.3424,1.0,0.0,1.0,0.0099,0.0027,0.0352,0.0,0.0245,0.0195,0.0,0.0479,False,0.0,0.6799,0.6768
bev_txt,traffic_cone,visible_objects,135,628,93,1,42,492,0.9894,0.9422,0.9981,0.9636,1.0,0.6889,0.6065,0.7608,0.5062,0.8619,0.8122,0.6694,0.9216,False,0.0,0.9315,0.785
bev_txt,barrier,visible_objects,121,628,108,6,13,501,0.9474,0.8899,0.9757,0.8804,0.9905,0.8926,0.8248,0.9361,0.8085,0.955,0.9191,0.8611,0.9591,False,0.0,0.9697,0.8073
bev_txt,pedestrian_near,visible_objects,150,628,95,33,55,445,0.7422,0.6601,0.8101,0.5844,0.8481,0.6333,0.5538,0.7062,0.4609,0.7778,0.6835,0.5341,0.7917,False,0.0,0.8599,0.7611
bev_txt,vehicle_near,visible_objects,283,628,247,245,36,100,0.502,0.458,0.546,0.4197,0.581,0.8728,0.8289,0.9067,0.8139,0.9253,0.6374,0.5613,0.7038,False,0.0,0.5525,0.5494
bev_txt,lead_vehicle,interaction,314,628,4,3,310,311,0.5714,0.2505,0.8418,0.0,1.0,0.0127,0.005,0.0323,0.0,0.0379,0.0249,0.0,0.0722,False,0.6667,0.5016,0.5
bev_txt,lead_braking,interaction,108,628,0,0,108,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343,0.0,0.0,0.0,0.0,0.0,True,0.0,0.828,0.828
bev_txt,cut_in,interaction,109,628,0,0,109,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8264,0.8264
bev_txt,pedestrian_crossing_path,interaction,98,628,0,0,98,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8439,0.8439
both,is_going_straight,ego_maneuver,456,628,427,141,29,31,0.7518,0.7146,0.7855,0.6841,0.8149,0.9364,0.9102,0.9554,0.8849,0.9737,0.834,0.7853,0.8774,False,0.8413,0.7293,0.7261
both,is_turn_left,ego_maneuver,76,628,10,34,66,518,0.2273,0.1284,0.3699,0.0454,0.5228,0.1316,0.0731,0.2255,0.0282,0.241,0.1667,0.0357,0.3048,False,0.0,0.8408,0.879
both,is_turn_right,ego_maneuver,60,628,1,7,59,561,0.125,0.0224,0.4709,0.0,0.4286,0.0167,0.0029,0.0886,0.0,0.0462,0.0294,0.0,0.08,False,0.0,0.8949,0.9045
both,is_u_turn,ego_maneuver,36,628,0,0,36,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.0,0.0,0.0,0.0,0.0,True,0.0,0.9427,0.9427
both,is_cruising,ego_maneuver,236,628,216,352,20,40,0.3803,0.3413,0.4209,0.3105,0.4535,0.9153,0.8727,0.9445,0.8584,0.9597,0.5373,0.4607,0.6095,False,0.0,0.4076,0.6242
both,is_stationary,ego_maneuver,154,628,0,0,154,474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7548,0.7548
both,is_accelerating,ego_maneuver,119,628,0,0,119,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8105,0.8105
both,is_decelerating,ego_maneuver,119,628,0,2,119,507,0.0,0.0,0.6576,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8073,0.8105
both,lane_change,ego_maneuver,96,628,1,7,95,525,0.125,0.0224,0.4709,0.0,0.4444,0.0104,0.0018,0.0567,0.0,0.0377,0.0192,0.0,0.0667,False,0.0,0.8376,0.8471
both,on_drivable_area,map_context,628,628,628,0,0,0,1.0,0.9939,1.0,1.0,1.0,1.0,0.9939,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0
both,at_intersection,map_context,216,628,73,123,143,289,0.3724,0.3078,0.442,0.2353,0.5213,0.338,0.2782,0.4034,0.2162,0.4638,0.3544,0.2347,0.4709,False,0.0,0.5764,0.6561
both,on_lane,map_context,412,628,412,216,0,0,0.6561,0.6181,0.6922,0.5895,0.7194,1.0,0.9908,1.0,1.0,1.0,0.7923,0.7418,0.8368,True,0.7923,0.6561,0.6561
both,on_ped_crossing,map_context,118,628,0,0,118,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8121,0.8121
both,on_stop_line,map_context,166,628,0,0,166,462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7357,0.7357
both,ped_crossing_ahead,map_context,339,628,1,0,338,289,1.0,0.2065,1.0,0.0,1.0,0.0029,0.0005,0.0165,0.0,0.0095,0.0059,0.0,0.0189,False,0.7011,0.4618,0.5398
both,stop_line_ahead,map_context,471,628,0,0,471,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,True,0.8571,0.25,0.75
both,intersection_ahead,map_context,541,628,191,5,350,82,0.9745,0.9417,0.9891,0.9171,1.0,0.353,0.3139,0.3942,0.2738,0.4366,0.5183,0.4275,0.6016,False,0.9256,0.4347,0.8615
both,traffic_light_ahead,map_context,144,628,120,65,24,419,0.6486,0.5775,0.7138,0.492,0.7877,0.8333,0.764,0.8854,0.7365,0.9231,0.7295,0.6078,0.8243,False,0.0,0.8583,0.7707
both,has_pedestrian,visible_objects,378,628,162,0,216,250,1.0,0.9768,1.0,1.0,1.0,0.4286,0.3796,0.4789,0.3188,0.5219,0.6,0.4835,0.6859,True,0.7515,0.6561,0.6019
both,has_vehicle,visible_objects,584,628,562,15,22,29,0.974,0.9576,0.9842,0.9413,0.9947,0.9623,0.9436,0.975,0.9394,0.9822,0.9681,0.9489,0.984,False,0.9637,0.9411,0.9299
both,parked_vehicle,visible_objects,362,628,130,12,232,254,0.9155,0.8581,0.951,0.8444,0.9673,0.3591,0.3114,0.4098,0.2719,0.4572,0.5159,0.4153,0.6115,False,0.7313,0.6115,0.5764
both,moving_vehicle,visible_objects,443,628,393,71,50,114,0.847,0.8114,0.8769,0.7838,0.8984,0.8871,0.8543,0.9133,0.8354,0.9294,0.8666,0.8226,0.9027,False,0.8273,0.8073,0.7054
both,stopped_vehicle,visible_objects,257,628,37,96,220,275,0.2782,0.2091,0.3598,0.1687,0.4114,0.144,0.1063,0.1921,0.0861,0.2202,0.1897,0.1196,0.2709,False,0.0,0.4968,0.5908
both,large_vehicle,visible_objects,406,628,158,6,248,216,0.9634,0.9225,0.9831,0.9286,0.9883,0.3892,0.343,0.4374,0.3021,0.4745,0.5544,0.4582,0.639,False,0.7853,0.5955,0.6465
both,cyclist,visible_objects,109,628,25,1,84,518,0.9615,0.8111,0.9932,0.7778,1.0,0.2294,0.1605,0.3167,0.0588,0.4552,0.3704,0.1101,0.6212,False,0.0,0.8646,0.8264
both,parked_bicycle,visible_objects,68,628,2,1,66,559,0.6667,0.2077,0.9385,0.0,1.0,0.0294,0.0081,0.101,0.0,0.1053,0.0563,0.0,0.1875,False,0.0,0.8933,0.8917
both,construction_object,visible_objects,203,628,131,19,72,406,0.8733,0.8106,0.9174,0.7615,0.9467,0.6453,0.5774,0.7079,0.4853,0.7778,0.7422,0.6092,0.8341,False,0.0,0.8551,0.6768
both,traffic_cone,visible_objects,135,628,98,24,37,469,0.8033,0.724,0.8641,0.6694,0.9018,0.7259,0.6452,0.7941,0.5664,0.8537,0.7626,0.642,0.8499,False,0.0,0.9029,0.785
