condition,tag,family,prevalence,f1,baseline_f1_majority,baseline_f1_always_yes,mcc,balanced_accuracy
cot,lead_vehicle,interaction,0.499,0.6449,0.6667,0.666,0.343,0.67
cot,lead_braking,interaction,0.172,0.127,0.0,0.294,0.124,0.527
cot,cut_in,interaction,0.172,0.0,0.0,0.294,0.0,0.5
cot,pedestrian_crossing_path,interaction,0.156,0.4218,0.0,0.27,0.382,0.641
bev_pic,is_going_straight,ego_maneuver,0.726,0.38,0.8413,0.841,0.186,0.583
bev_pic,is_turn_left,ego_maneuver,0.121,0.175,0.0,0.216,0.013,0.509
bev_pic,is_turn_right,ego_maneuver,0.096,0.1995,0.0,0.174,0.081,0.568
bev_pic,is_u_turn,ego_maneuver,0.057,0.0,0.0,0.108,0.0,0.5
bev_pic,is_cruising,ego_maneuver,0.376,0.3677,0.0,0.546,0.164,0.567
bev_pic,is_stationary,ego_maneuver,0.245,0.0,0.0,0.394,0.0,0.5
bev_pic,is_accelerating,ego_maneuver,0.189,0.0,0.0,0.319,0.0,0.5
bev_pic,is_decelerating,ego_maneuver,0.189,0.0,0.0,0.319,0.0,0.5
bev_pic,lane_change,ego_maneuver,0.153,0.2975,0.0,0.265,0.114,0.579
bev_pic,on_drivable_area,map_context,1.0,1.0,1.0,1.0,0.0,0.5
bev_pic,at_intersection,map_context,0.344,0.4413,0.0,0.512,0.034,0.518
bev_pic,on_lane,map_context,0.656,0.7923,0.7923,0.792,0.0,0.5
bev_pic,on_ped_crossing,map_context,0.188,0.0,0.0,0.316,0.0,0.5
bev_pic,on_stop_line,map_context,0.264,0.0,0.0,0.418,0.0,0.5
bev_pic,ped_crossing_ahead,map_context,0.54,0.0,0.7011,0.701,0.0,0.5
bev_pic,stop_line_ahead,map_context,0.75,0.0,0.8571,0.857,0.0,0.5
bev_pic,intersection_ahead,map_context,0.861,0.5608,0.9256,0.926,0.116,0.582
bev_pic,traffic_light_ahead,map_context,0.229,0.0,0.0,0.373,-0.022,0.499
bev_pic,has_pedestrian,visible_objects,0.602,0.0105,0.7515,0.751,0.046,0.503
bev_pic,has_vehicle,visible_objects,0.93,0.9637,0.9637,0.964,0.0,0.5
bev_pic,parked_vehicle,visible_objects,0.576,0.0055,0.7313,0.731,0.034,0.501
bev_pic,moving_vehicle,visible_objects,0.705,0.8288,0.8273,0.827,0.087,0.505
bev_pic,stopped_vehicle,visible_objects,0.409,0.0,0.0,0.581,-0.033,0.499
bev_pic,large_vehicle,visible_objects,0.646,0.3985,0.7853,0.785,0.226,0.593
bev_pic,cyclist,visible_objects,0.174,0.0,0.0,0.296,0.0,0.5
bev_pic,parked_bicycle,visible_objects,0.108,0.0,0.0,0.195,0.0,0.5
bev_pic,construction_object,visible_objects,0.323,0.5485,0.0,0.489,0.32,0.663
bev_pic,traffic_cone,visible_objects,0.215,0.4056,0.0,0.354,0.201,0.617
bev_pic,barrier,visible_objects,0.193,0.5689,0.0,0.323,0.462,0.78
bev_pic,pedestrian_near,visible_objects,0.239,0.0132,0.0,0.386,0.035,0.502
bev_pic,vehicle_near,visible_objects,0.451,0.6213,0.0,0.621,0.0,0.5
bev_pic,lead_vehicle,interaction,0.5,0.6069,0.6667,0.667,0.233,0.616
bev_pic,lead_braking,interaction,0.172,0.0526,0.0,0.293,0.085,0.511
bev_pic,cut_in,interaction,0.174,0.0,0.0,0.296,0.0,0.5
bev_pic,pedestrian_crossing_path,interaction,0.156,0.0,0.0,0.27,0.0,0.5
bev_txt,is_going_straight,ego_maneuver,0.726,0.0,0.8413,0.841,0.0,0.5
